,title,week,sum
2017.03.09,,,
2017.03.16,,,
2017.03.23,,,
2017.03.30,,,
2017.04.06,,,
2017.04.13,,,
2017.04.20,,,
2017.04.27,,,
2017.05.04,,,
2017.05.11,,,
2017.05.18,,,
2017.05.25,,,
2017.06.01,,,
2017.06.08,,,
2017.06.15,,,
2017.06.22,,,
2017.06.29,,,
2017.07.06,,,
2017.07.13,,,
2017.07.20,,,
2017.07.27,,,
2017.08.03,,,
2017.08.10,,,
2017.08.17,,,
2017.08.24,,,
2017.08.31,,,
2017.09.07,,,
2017.09.14,,,
2017.09.21,,,
2017.09.28,,,
2017.10.05,,,
2017.10.12,,,
2017.10.19,,,
2017.10.26,,,
2017.11.02,,,
2017.11.09,,,
2017.11.16,,,
2017.11.23,,,
2017.11.30,,,
2017.12.07,,,
2017.12.14,,,
2017.12.21,,,
2017.12.28,,,
2018.01.11,,,
2018.01.18,,,
2018.01.25,,,
2018.02.01,,,
2018.02.08,,,
2018.02.15,,,
2018.02.22,,,
2018.03.01,,,
2018.03.08,,,
2018.03.15,,,
2018.03.22,,,
2018.03.29,,,
2018.04.05,,,
2018.04.12,,,
2018.04.19,,,
2018.04.26,,,
2018.05.03,,,
2018.05.10,,,
2018.05.17,,,
2018.05.24,,,
2018.05.31,,,
2018.06.07,,,
2018.06.14,,,
2018.06.21,,,
2018.06.28,,,
2018.07.05,,,
2018.07.12,,,
2018.07.19,,,
2018.07.26,,,
2018.08.02,,,
2018.08.09,,,
2018.08.16,,,
2018.08.23,,,
2018.08.30,,,
2018.09.06,,,
2018.09.13,,,
2018.09.20,,,
2018.09.27,,,
2018.10.04,,,
2018.10.11,,,
2018.10.18,,,
2018.10.25,,,
2018.11.01,,,
2018.11.08,,,
2018.11.15,,,
2018.11.22,,,
2018.11.29,,,
2018.12.06,,,
2018.12.13,,,
2018.12.20,,,
2018.12.27,,,
2019.01.03,,,
2019.01.10,,,
2019.01.17,,,
2019.01.24,,,
2019.01.31,,,
2019.02.07,,,
2019.02.14,,,
2019.02.21,,,
2019.02.28,,,
2019.03.07,,,
2019.03.14,,,
2019.03.21,,,
2019.03.28,,,
2019.04.04,,,
2019.04.11,,,
2019.04.18,,,
2019.04.25,,,
2019.05.02,,,
2019.05.09,,,
2019.05.16,,,
2019.05.23,,,
2019.05.30,,,
2019.06.06,,,
2019.06.13,,,
2019.06.20,,,
2019.06.27,,,
2019.07.04,,,
2019.07.11,,,
2019.07.18,,,
2019.07.25,,,
2019.08.01,,,
2019.08.08,,,
2019.08.15,,,
2019.08.22,,,
2019.08.29,,,
2019.09.05,,,
2019.09.12,,,
2019.09.19,,,
2019.09.26,,,
2019.10.03,,,
2019.10.10,,,
2019.10.17,,,
2019.10.24,,,
2019.10.31,,,
2019.11.07,,,
2019.11.14,,,
2019.11.21,,,
2019.11.28,,,
2019.12.05,,,
2019.12.12,,,
2019.12.19,,,
2019.12.26,,,
2020.01.02,,,
2020.01.09,,,
2020.01.16,,,
2020.01.23,,,
2020.01.30,,,
2020.02.06,,,
2020.02.13,,,
2020.02.20,,,
2020.02.27,,,
2020.03.05,,,
2020.03.12,,,
2020.03.19,,,
2020.03.26,,,
2020.04.02,,,
2020.04.09,,,
2020.04.16,,,
2020.04.23,,,
2020.04.30,,,
2020.05.07,,,
2020.05.14,,,
2020.05.21,,,
2020.05.28,,,
2020.06.04,,,
2020.06.11,世界のアソビ大全51,64443.0,64443
2020.06.18,世界のアソビ大全51,47181.0,111624
2020.06.26,世界のアソビ大全51,32673.0,144297
2020.07.03,世界のアソビ大全51,27323.0,171620
2020.07.10,世界のアソビ大全51,23591.0,195211
2020.07.17,世界のアソビ大全51,20094.0,215305
2020.07.24,世界のアソビ大全51,20586.0,235891
2020.07.31,世界のアソビ大全51,25136.0,261027.0
2020.08.07,世界のアソビ大全51,16319.0,277346
2020.08.14,世界のアソビ大全51,19609.0,296955
2020.08.21,世界のアソビ大全51,25245.0,322200
2020.08.28,世界のアソビ大全51,14290.0,336490
2020.09.04,世界のアソビ大全51,12520.0,349010
2020.09.11,世界のアソビ大全51,13410.0,362420
2020.09.18,世界のアソビ大全51,9620.0,372040
2020.09.25,世界のアソビ大全51,9572.0,381612
2020.10.02,世界のアソビ大全51,9583.0,391195
2020.10.09,世界のアソビ大全51,6143.0,397338
2020.10.16,世界のアソビ大全51,5927.0,403265
2020.10.23,世界のアソビ大全51,4668.0,407933
2020.10.30,世界のアソビ大全51,4051.0,411984
2020.11.06,世界のアソビ大全51,11410.0,612794
2020.11.13,世界のアソビ大全51,10411.0,623205
2020.11.20,世界のアソビ大全51,7704.0,630909
2020.11.27,世界のアソビ大全51,7106.0,638015.0
2020.12.04,世界のアソビ大全51,5822.0,643837
2020.12.11,世界のアソビ大全51,5828.0,649665
2020.12.18,世界のアソビ大全51,5075.0,654740
2020.12.25,世界のアソビ大全51,4527.0,659267
2021.01.01,世界のアソビ大全51,39673.0,519649
2021.01.08,世界のアソビ大全51,45354.0,565003
2021.01.15,世界のアソビ大全51,21086.0,586089
2021.01.22,世界のアソビ大全51,15295.0,601384
2021.01.29,世界のアソビ大全51,11410.0,612794
2021.02.05,世界のアソビ大全51,10411.0,623205
2021.02.12,世界のアソビ大全51,7704.0,630909
2021.02.19,世界のアソビ大全51,7106.0,638015.0
2021.02.26,世界のアソビ大全51,5822.0,643837
2021.03.05,世界のアソビ大全51,5828.0,649665
2021.03.12,世界のアソビ大全51,5075.0,654740
2021.03.19,世界のアソビ大全51,4527.0,659267
2021.03.26,世界のアソビ大全51,4563.0,663830
2021.04.02,世界のアソビ大全51,4895.0,668725
2021.04.09,世界のアソビ大全51,4182.0,672907
2021.04.16,世界のアソビ大全51,4161.0,677068
2021.04.23,世界のアソビ大全51,3813.0,680881
2021.04.30,世界のアソビ大全51,4496.0,685377
2021.05.07,世界のアソビ大全51,7442.0,692819
2021.05.14,世界のアソビ大全51,7667.0,700486.0
2021.05.21,世界のアソビ大全51,5194.0,705680.0
2021.05.28,世界のアソビ大全51,4869.0,710549
2021.06.04,世界のアソビ大全51,4961.0,715510
2021.06.18,世界のアソビ大全51,4710.0,725003
2021.06.25,世界のアソビ大全51,4703.0,729706
2021.07.02,世界のアソビ大全51,4531.0,734237
2021.07.09,世界のアソビ大全51,4723.0,738960
2021.07.16,世界のアソビ大全51,4582.0,743542
2021.07.23,世界のアソビ大全51,4063.0,747605
2021.07.30,世界のアソビ大全51,5496.0,753101
2021.08.06,世界のアソビ大全51,4818.0,757919
